Gottit;Assets:Debitorer
Politiken;Expenses:Avis
Telmore;Expenses:Telefoni
Fibia;Expenses:Internet
Frantech;Expenses:Hosting:UdenMoms
Punktum;Expenses:Hosting
Dustin;Expenses:Computer
Proshop;Expenses:Computer
Dancatering;Expenses:Mad
VELOCONCEPT;Expenses:Mad
LIDL;Expenses:Mad
ALDI;Expenses:Mad
Naturenergi;Expenses:Kontor:UdenMoms
OkPlus;Expenses:Mad
Rente;Assets:Bank
GebyrBank;Expenses:Finansielt:Gebyrer
Rema1000;Expenses:Mad
Netto;Expenses:Mad
Coop365;Expenses:Mad
KoebMoms;Assets:Moms
SkyldigMoms;Liabilities:Moms
SalgMoms;Liabilities:Moms
AfregnetMoms;Assets:Moms
Rente;Assets:Bank
BankErhverv;Assets:Bank
AON;Expenses:Forsikring
ATP;Expenses:Loen
LoenGebyr;Expenses:Loen
LoenSkat;Expenses:Loen
LoenAnsat;Expenses:Loen
SkyldigATP;Liabilities:ATP
SkyldigSkatAfLoen;Liabilities:Skat
SkyldigUdbytteSkat;Liabilities:Skat
SkyldigUdbytte;Liabilities:Ansat
SkyldigLoen;Liabilities:Ansat
SkyldigLoenGebyr;Liabilities:Loen
Kreditorer;Liabilities
BagerietHjortev;Expenses:Mad
KDB;Expenses:Mad
ONECOM;Expenses:Hosting
GOTTIT;Assets:Debitorer
BilligToner;Expenses:Hardware
ELG;Expenses:Hardware
MICROSOFT;Expenses:Software:UdenMoms
ITACHO;Expenses:Mad
CIRCLEK;Expenses:Mad
AXOSOFT;Expenses:Software:UdenMoms
DKHOSTMASTER;Expenses:Hosting
Mad;Expenses:Mad
